prior,cluster_4,cluster_6,cluster_8
N02_untrained_vit,1,1,1
N03_pixel,4,6,8
P02_clip_b32,2,2,4
P03_clip_l14,2,2,4
P04_clip_h14,2,2,4
P05_clip_g14,2,2,4
P06_clip_bigG14,2,2,4
P07_dinov2_base,2,2,3
P08_dinov2_large,2,2,3
P09_dinov2_giant,2,2,3
P10_mae_huge,1,1,1
P11_sdxl_vae,1,1,2
P17_facenet_vggface2,2,4,6
P18_facenet_casiawebface,2,4,6
P19_siglip_base_384,2,2,4
P20_siglip_so400m,2,2,4
P21_metaclip_h14,2,2,4
P22_cornet_s,3,5,7
P23_arcface_auraface,2,3,5
P23rgb_arcface_auraface_rgb,2,3,5
P24_adaface_ir101_ms1mv2,2,3,5
P25_arcface_ir101_webface4m,2,3,5
P26_adaface_ir50_casia,2,3,5
P28_adaface_ir50_webface4m,2,3,5
P29_adaface_ir50_ms1mv2,2,3,5
