,N02_untrained_vit,N03_pixel,P02_clip_b32,P03_clip_l14,P04_clip_h14,P05_clip_g14,P06_clip_bigG14,P07_dinov2_base,P08_dinov2_large,P09_dinov2_giant,P10_mae_huge,P11_sdxl_vae,P17_facenet_vggface2,P18_facenet_casiawebface,P19_siglip_base_384,P20_siglip_so400m,P21_metaclip_h14,P22_cornet_s,P23_arcface_auraface,P23rgb_arcface_auraface_rgb,P24_adaface_ir101_ms1mv2,P25_arcface_ir101_webface4m,P26_adaface_ir50_casia,P28_adaface_ir50_webface4m,P29_adaface_ir50_ms1mv2
N02_untrained_vit,1.0,-0.09340351851297903,0.055771200362705664,0.06577303158878066,0.06591306230542525,0.05932793096826503,0.06721446933366451,0.07771777371246233,0.08405062819251272,0.08656774799807673,0.8143280686391393,0.5525699501599587,0.01676912057529477,0.016279856318460444,0.09837681794288376,0.0757552650859044,0.0763176097992564,0.11763314310137407,0.01116881048373402,0.019693043135899486,0.0016354847792422157,-0.0013121659392848217,0.0022464668595696454,0.0009977952033342367,-0.00030974131489081583
N03_pixel,-0.09340351851297903,1.0,0.06466885534258525,0.004683016795252707,0.07458130258130949,0.07599727013791328,0.061461962449240536,0.062152496688121256,0.028512985675759387,0.024414627752796573,0.11636344522770871,0.0662618315910464,0.03163536734641637,0.03259447430212702,0.0831728820631074,0.0974766345331553,0.033646977675821726,0.060756160382203266,0.04079608391468792,0.05008254070162534,0.04504054322737697,0.0470819347451566,0.035995950313112327,0.03992726939465694,0.04374175584740036
P02_clip_b32,0.055771200362705664,0.06466885534258525,1.0,0.7120632198362213,0.832162077650222,0.8356760480573022,0.8443451645933894,0.6110736150809444,0.5969743807283129,0.616060776873809,0.05648430820606681,0.06617651534940283,0.4866929843978485,0.43138498158032645,0.6776775628069893,0.6481338892717641,0.715825986280165,0.3469181573335608,0.5083726459147286,0.5193654393825138,0.532736269209135,0.485266680418606,0.5208348631152572,0.5387932259104399,0.5356639451839406
P03_clip_l14,0.06577303158878066,0.004683016795252707,0.7120632198362213,1.0,0.7434515040665944,0.7350192668600575,0.739852745249954,0.4133202966633169,0.43465978049974435,0.46273417768533776,0.05422664434629141,0.05647488803391797,0.3430589985507113,0.3391639915206312,0.5454163698758676,0.5561076986086264,0.69376492751484,0.2685670917658941,0.3639157144006728,0.3793932173123209,0.35570590919865397,0.30914925023391243,0.3544898774378766,0.3643563908363061,0.3628519028641242
P04_clip_h14,0.06591306230542525,0.07458130258130949,0.832162077650222,0.7434515040665944,1.0,0.9223604149488436,0.9236973339623007,0.6451695973956958,0.629294545415508,0.6512247774016223,0.0730478592653903,0.08865385354289304,0.48145097833629397,0.462527029554658,0.7431882288438451,0.7389687868449811,0.7838159572301847,0.4139804434568894,0.4973578058908191,0.504720040793882,0.5039058166873702,0.4588277737491519,0.49930301150186923,0.5154988124924874,0.5051636305942708
P05_clip_g14,0.05932793096826503,0.07599727013791328,0.8356760480573022,0.7350192668600575,0.9223604149488436,1.0,0.9168957652888746,0.6378271913298458,0.6222900480560725,0.6405559841155505,0.06625282997172319,0.07395764590652444,0.49625872827490336,0.46136517169817637,0.740679463415054,0.7178100252757228,0.7724732843319067,0.4071327718031743,0.515598001197006,0.5221551321202391,0.5276905555374553,0.47426524990107694,0.5082688040718701,0.5371971114761331,0.5273325063478677
P06_clip_bigG14,0.06721446933366451,0.061461962449240536,0.8443451645933894,0.739852745249954,0.9236973339623007,0.9168957652888746,1.0,0.6724938912027255,0.6576166401785165,0.6783030599720166,0.07069196213885966,0.08850606414613768,0.5074299450069304,0.4810491719040666,0.746972364124327,0.7495634002767809,0.7817785180248756,0.42527025771927657,0.5323071472333805,0.5381461012753118,0.5401487875719133,0.4921244579223296,0.5271106975802169,0.5425898823339446,0.5411883948996042
P07_dinov2_base,0.07771777371246233,0.062152496688121256,0.6110736150809444,0.4133202966633169,0.6451695973956958,0.6378271913298458,0.6724938912027255,1.0,0.8465692540984953,0.8416053613256506,0.07496645668362138,0.1380288814708421,0.45826106890319934,0.4379320272740322,0.6369825895329291,0.5958864390079573,0.5552164928413399,0.5413375609129236,0.5114975522810841,0.5038285484984494,0.511258668599291,0.5068976809826372,0.5086053273628393,0.5081551940565312,0.5028205095032652
P08_dinov2_large,0.08405062819251272,0.028512985675759387,0.5969743807283129,0.43465978049974435,0.629294545415508,0.6222900480560725,0.6576166401785165,0.8465692540984953,1.0,0.9272393394811732,0.07209468017308715,0.13639989585265988,0.3808105683579751,0.3706062150235385,0.6451617056501064,0.613147139243636,0.5529746108051606,0.5052703538007121,0.4190225560156161,0.4110075287171057,0.43236475033584687,0.41090896628623685,0.4200739780600225,0.42039682417458785,0.42244334033756015
P09_dinov2_giant,0.08656774799807673,0.024414627752796573,0.616060776873809,0.46273417768533776,0.6512247774016223,0.6405559841155505,0.6783030599720166,0.8416053613256506,0.9272393394811732,1.0,0.07422527392654708,0.13290803804773074,0.38759709831512584,0.3726542917350716,0.6563099301726144,0.6196092574496346,0.5665221565422921,0.5065237801363003,0.4260199212329562,0.4154676383603484,0.4389283299423907,0.41053289851719094,0.4195030438536476,0.42706937079193247,0.42791374028409884
P10_mae_huge,0.8143280686391393,0.11636344522770871,0.05648430820606681,0.05422664434629141,0.0730478592653903,0.06625282997172319,0.07069196213885966,0.07496645668362138,0.07209468017308715,0.07422527392654708,1.0,0.5721535064714931,0.035960588883916685,0.03485083620386848,0.09502009348152128,0.07903718808586395,0.07117874215727144,0.11645904667824257,0.029691041100089296,0.03661267174339113,0.02037672768219688,0.02054614769639915,0.023008937996624717,0.02555817917960436,0.023239257783174583
P11_sdxl_vae,0.5525699501599587,0.0662618315910464,0.06617651534940283,0.05647488803391797,0.08865385354289304,0.07395764590652444,0.08850606414613768,0.1380288814708421,0.13639989585265988,0.13290803804773074,0.5721535064714931,1.0,0.0829741144327721,0.06200261399636484,0.15594651986574615,0.1365865244306519,0.09970739522582957,0.17341221111383354,0.08458549129746161,0.08306937590613034,0.0592928313874513,0.0633683507746078,0.060551558221040615,0.05934162053583001,0.05259797592548604
P17_facenet_vggface2,0.01676912057529477,0.03163536734641637,0.4866929843978485,0.3430589985507113,0.48145097833629397,0.49625872827490336,0.5074299450069304,0.45826106890319934,0.3808105683579751,0.38759709831512584,0.035960588883916685,0.0829741144327721,1.0,0.6140191209561022,0.34337793142551465,0.33513537354941236,0.35921498592916373,0.2764709758558584,0.5857657291359819,0.5848528923295923,0.5699876098419725,0.5539048446678205,0.6120908277497769,0.6064788293255279,0.5958278304572111
P18_facenet_casiawebface,0.016279856318460444,0.03259447430212702,0.43138498158032645,0.3391639915206312,0.462527029554658,0.46136517169817637,0.4810491719040666,0.4379320272740322,0.3706062150235385,0.3726542917350716,0.03485083620386848,0.06200261399636484,0.6140191209561022,1.0,0.3402228216743709,0.33600225163884734,0.36329662872413393,0.3231974758415002,0.5274023726880566,0.5126818148384665,0.48476109901887937,0.4653842672350906,0.538737181615269,0.51452284550507,0.5012122722940947
P19_siglip_base_384,0.09837681794288376,0.0831728820631074,0.6776775628069893,0.5454163698758676,0.7431882288438451,0.740679463415054,0.746972364124327,0.6369825895329291,0.6451617056501064,0.6563099301726144,0.09502009348152128,0.15594651986574615,0.34337793142551465,0.3402228216743709,1.0,0.8356312931676607,0.6832111159319794,0.4684292535200227,0.35929415371612106,0.3625154608286899,0.36460092964876784,0.3248816484972267,0.3467498500040666,0.37261933422316795,0.35109076571757003
P20_siglip_so400m,0.0757552650859044,0.0974766345331553,0.6481338892717641,0.5561076986086264,0.7389687868449811,0.7178100252757228,0.7495634002767809,0.5958864390079573,0.613147139243636,0.6196092574496346,0.07903718808586395,0.1365865244306519,0.33513537354941236,0.33600225163884734,0.8356312931676607,1.0,0.7190502737773228,0.4352350608978402,0.3608151285454715,0.3642343014404791,0.36914950233583677,0.33554668298599644,0.35377308238599353,0.36573202870804855,0.3610774412075386
P21_metaclip_h14,0.0763176097992564,0.033646977675821726,0.715825986280165,0.69376492751484,0.7838159572301847,0.7724732843319067,0.7817785180248756,0.5552164928413399,0.5529746108051606,0.5665221565422921,0.07117874215727144,0.09970739522582957,0.35921498592916373,0.36329662872413393,0.6832111159319794,0.7190502737773228,1.0,0.3463754493663543,0.3983928705806367,0.4034047209116967,0.3863789838512627,0.3499020158512776,0.37780445063468276,0.38375427959879005,0.38105868635455825
P22_cornet_s,0.11763314310137407,0.060756160382203266,0.3469181573335608,0.2685670917658941,0.4139804434568894,0.4071327718031743,0.42527025771927657,0.5413375609129236,0.5052703538007121,0.5065237801363003,0.11645904667824257,0.17341221111383354,0.2764709758558584,0.3231974758415002,0.4684292535200227,0.4352350608978402,0.3463754493663543,1.0,0.3083370530223764,0.3005280515719159,0.28816119059498896,0.2762432194503266,0.27466480424934053,0.28278169100236006,0.2789217072863442
P23_arcface_auraface,0.01116881048373402,0.04079608391468792,0.5083726459147286,0.3639157144006728,0.4973578058908191,0.515598001197006,0.5323071472333805,0.5114975522810841,0.4190225560156161,0.4260199212329562,0.029691041100089296,0.08458549129746161,0.5857657291359819,0.5274023726880566,0.35929415371612106,0.3608151285454715,0.3983928705806367,0.3083370530223764,1.0,0.8567441907983111,0.6351348585588905,0.6240661226991634,0.6645010471004931,0.6597010333116712,0.6579771772037255
P23rgb_arcface_auraface_rgb,0.019693043135899486,0.05008254070162534,0.5193654393825138,0.3793932173123209,0.504720040793882,0.5221551321202391,0.5381461012753118,0.5038285484984494,0.4110075287171057,0.4154676383603484,0.03661267174339113,0.08306937590613034,0.5848528923295923,0.5126818148384665,0.3625154608286899,0.3642343014404791,0.4034047209116967,0.3005280515719159,0.8567441907983111,1.0,0.63240994269907,0.6216233344965405,0.6507587036896995,0.653085492124292,0.6519508668709081
P24_adaface_ir101_ms1mv2,0.0016354847792422157,0.04504054322737697,0.532736269209135,0.35570590919865397,0.5039058166873702,0.5276905555374553,0.5401487875719133,0.511258668599291,0.43236475033584687,0.4389283299423907,0.02037672768219688,0.0592928313874513,0.5699876098419725,0.48476109901887937,0.36460092964876784,0.36914950233583677,0.3863789838512627,0.28816119059498896,0.6351348585588905,0.63240994269907,1.0,0.6795928706046269,0.6601357383268304,0.7271012573793596,0.7642874148016364
P25_arcface_ir101_webface4m,-0.0013121659392848217,0.0470819347451566,0.485266680418606,0.30914925023391243,0.4588277737491519,0.47426524990107694,0.4921244579223296,0.5068976809826372,0.41090896628623685,0.41053289851719094,0.02054614769639915,0.0633683507746078,0.5539048446678205,0.4653842672350906,0.3248816484972267,0.33554668298599644,0.3499020158512776,0.2762432194503266,0.6240661226991634,0.6216233344965405,0.6795928706046269,1.0,0.6528876618494641,0.7324582175490245,0.702945973363266
P26_adaface_ir50_casia,0.0022464668595696454,0.035995950313112327,0.5208348631152572,0.3544898774378766,0.49930301150186923,0.5082688040718701,0.5271106975802169,0.5086053273628393,0.4200739780600225,0.4195030438536476,0.023008937996624717,0.060551558221040615,0.6120908277497769,0.538737181615269,0.3467498500040666,0.35377308238599353,0.37780445063468276,0.27466480424934053,0.6645010471004931,0.6507587036896995,0.6601357383268304,0.6528876618494641,1.0,0.7136902648308716,0.6943866268392916
