,N02_untrained_vit,N03_pixel,P02_clip_b32,P03_clip_l14,P04_clip_h14,P05_clip_g14,P06_clip_bigG14,P07_dinov2_base,P08_dinov2_large,P09_dinov2_giant,P10_mae_huge,P11_sdxl_vae,P17_facenet_vggface2,P18_facenet_casiawebface,P19_siglip_base_384,P20_siglip_so400m,P21_metaclip_h14,P22_cornet_s,P23_arcface_auraface,P23rgb_arcface_auraface_rgb,P24_adaface_ir101_ms1mv2,P25_arcface_ir101_webface4m,P26_adaface_ir50_casia,P28_adaface_ir50_webface4m,P29_adaface_ir50_ms1mv2
N02_untrained_vit,1.0,-0.10781462592325991,0.09006253703319382,0.10711866977392082,0.13809912202811284,0.13897945940697404,0.14387496986792003,0.13391054491292362,0.13851071014731076,0.1178593794465474,0.779578105464733,0.4798610077345142,0.021983955431977755,0.03658230388149488,0.17080322560305833,0.1422070885596951,0.16812536827174104,0.1806102322477349,-0.00432331145100276,-0.0021361318981212543,-0.004745496970646545,0.028838069846015654,-0.000983895577519158,0.005275295769812548,-0.0007606883092617295
N03_pixel,-0.10781462592325991,1.0,0.05318981707570679,0.0022998683384100036,0.02325781305666942,0.014358275435264118,0.02367097495976293,0.06403419237686683,0.05183419988715966,0.04960894683903635,0.05186272665894311,0.15161364045360426,0.023622027054017506,0.015887548818544473,0.07005129990018391,0.06247520036465605,-0.010015425523539062,0.06418107095363874,0.04194348290520911,0.03700867688638342,0.060273959602608146,0.03398195424219669,0.06403037880929645,0.049368895841449004,0.054703419939312964
P02_clip_b32,0.09006253703319382,0.05318981707570679,1.0,0.6726575586269359,0.7652267155408723,0.7709806679101182,0.7489627763260168,0.4894451503228272,0.4802647881558666,0.47107079859067885,0.08178951018336966,0.07410492481226144,0.2914737720413378,0.28019787396117907,0.5864118794678208,0.5763151669417126,0.6616662743034515,0.3161177983631224,0.1864891862017707,0.2180411698744377,0.13477025815769528,0.12113699478418759,0.24586454210684058,0.1713282607055717,0.150113238578933
P03_clip_l14,0.10711866977392082,0.0022998683384100036,0.6726575586269359,1.0,0.724982010019847,0.6946573580075481,0.7506704458850256,0.553567018222465,0.5851052212972306,0.607346462864575,0.10105131380841043,0.09977720693390528,0.22948015703220692,0.22513963573960197,0.5732461652992198,0.6246663777622498,0.7854800839835008,0.29637621646005696,0.1916975141158101,0.2203862441685783,0.125938073375618,0.13325252087343617,0.2295771434116433,0.17723266006850558,0.14466801731130835
P04_clip_h14,0.13809912202811284,0.02325781305666942,0.7652267155408723,0.724982010019847,1.0,0.8836750909028286,0.8912399298885498,0.5683485324396628,0.5855405727403346,0.5805264021283706,0.12373367303998375,0.12920112033773606,0.3211273906585224,0.3290327992307277,0.690871965289831,0.7055444521909499,0.7518168476398466,0.40601838085570513,0.2243398757909118,0.24898187579239642,0.15568007673531806,0.1401798336563797,0.26113621227368256,0.19240027541164947,0.17296821839666246
P05_clip_g14,0.13897945940697404,0.014358275435264118,0.7709806679101182,0.6946573580075481,0.8836750909028286,1.0,0.8658777667954699,0.5325853620864279,0.5200149219364412,0.5139938680153863,0.126168602024098,0.12087471895770144,0.32459038162475945,0.34678609496360724,0.685110286929305,0.6791610691476422,0.7129910176346181,0.3977394443149908,0.22022776177822576,0.2409558094793997,0.15909077477688874,0.14013288292076045,0.263841113911197,0.18941245880900154,0.17164932685623902
P06_clip_bigG14,0.14387496986792003,0.02367097495976293,0.7489627763260168,0.7506704458850256,0.8912399298885498,0.8658777667954699,1.0,0.6460489719729683,0.6499853886957109,0.6468599474637897,0.12669288675462914,0.12556890277425414,0.3072707233613069,0.3215932277332154,0.71150219832189,0.7425983302677728,0.7674081287933561,0.42608317522966904,0.22591677753370998,0.2493430728975644,0.15544046660904526,0.1447841048511336,0.25950400458014894,0.19537902050184705,0.17575816745494977
P07_dinov2_base,0.13391054491292362,0.06403419237686683,0.4894451503228272,0.553567018222465,0.5683485324396628,0.5325853620864279,0.6460489719729683,1.0,0.8881512489787985,0.8666925958623476,0.1375764063261987,0.16756054854028993,0.14560615560013157,0.18461697614191847,0.6712777289025275,0.6853840665354759,0.5917735000172689,0.5626553148381218,0.17770309532871992,0.16255178485945224,0.08998818057383697,0.1051533510224973,0.14835614596383567,0.13168436908916112,0.11681999563487112
P08_dinov2_large,0.13851071014731076,0.05183419988715966,0.4802647881558666,0.5851052212972306,0.5855405727403346,0.5200149219364412,0.6499853886957109,0.8881512489787985,1.0,0.9428034199373969,0.15650083920765723,0.20079175468554047,0.12830375857283222,0.15016223958221203,0.6819687044123748,0.7239875192730191,0.6249911234955874,0.5361766341142956,0.16593768444906448,0.15582572108230142,0.08028697867416455,0.10328594312582602,0.14390758044698557,0.12203624964448972,0.1160946677129165
P09_dinov2_giant,0.1178593794465474,0.04960894683903635,0.47107079859067885,0.607346462864575,0.5805264021283706,0.5139938680153863,0.6468599474637897,0.8666925958623476,0.9428034199373969,1.0,0.1436879423858449,0.2034426322227142,0.14039728132142884,0.16182375559756346,0.660663576471811,0.7058406830784122,0.6345799961540074,0.5053717822896823,0.17681717951822276,0.16759960693968176,0.09206028179915654,0.10896828402031514,0.14990243588716384,0.12841409844659782,0.12660657369498646
