,N02_untrained_vit,N03_pixel,P02_clip_b32,P03_clip_l14,P04_clip_h14,P05_clip_g14,P06_clip_bigG14,P07_dinov2_base,P08_dinov2_large,P09_dinov2_giant,P10_mae_huge,P11_sdxl_vae,P17_facenet_vggface2,P18_facenet_casiawebface,P19_siglip_base_384,P20_siglip_so400m,P21_metaclip_h14,P22_cornet_s,P23_arcface_auraface,P23rgb_arcface_auraface_rgb,P24_adaface_ir101_ms1mv2,P25_arcface_ir101_webface4m,P26_adaface_ir50_casia,P28_adaface_ir50_webface4m,P29_adaface_ir50_ms1mv2
N02_untrained_vit,1.0,0.546561419382771,0.5640784454948998,0.5368931839668362,0.5902424554658386,0.5795624890541524,0.5504499914796199,0.5445437668199135,0.5916839869587404,0.5861296710703721,0.885373509352832,0.5204046921587868,0.47306240352494444,0.6140936183858491,0.5627576315265791,0.510216166036474,0.5788330241417099,0.708177231511571,0.6217700299679506,0.572184985653924,0.4252595651247463,0.3023160669286895,0.522832772589081,0.3459147018769041,0.4743191107534799
N03_pixel,0.546561419382771,1.0,0.5449258350345628,0.5070267811900888,0.5293678751420522,0.5403473000323634,0.5504818758647024,0.5483274325495031,0.5378672187617984,0.5210400544055437,0.7094989574097814,0.4764668403488064,0.5089055798849268,0.555108684767265,0.5486723663588435,0.5593293666377946,0.4981118612020479,0.2910460664375398,0.5150156004539174,0.5379090082421247,0.4416072467453587,0.3212801217726584,0.5399862402696282,0.3443754666673821,0.5021566872504801
P02_clip_b32,0.5640784454948998,0.5449258350345628,1.0,0.8272938233320857,0.8627799144279963,0.8563299519095332,0.8757083167872775,0.7485183061646864,0.7786559285291134,0.7674027078814404,0.5599556843605874,0.5879894490647003,0.6237895797258612,0.6355904737873967,0.8179472206125,0.7951279057919215,0.8461521313096259,0.5364114706346335,0.60675060535773,0.6202623050318936,0.49057096331729266,0.33881270450350215,0.6071273228342257,0.4041191315645284,0.5360751979375555
P03_clip_l14,0.5368931839668362,0.5070267811900888,0.8272938233320857,1.0,0.8456064622552217,0.8369331518239745,0.8501663331624284,0.6889554272077002,0.7258419937851499,0.7209451964475108,0.5318174166211406,0.5537792520900219,0.609244189730372,0.6144802319126791,0.7573489323093942,0.7692315465993027,0.849670812687737,0.513863304331697,0.6161892478804908,0.6269533329383684,0.49707264421508796,0.3521075798310934,0.597933386321634,0.4286652916659434,0.5442808408983307
P04_clip_h14,0.5902424554658386,0.5293678751420522,0.8627799144279963,0.8456064622552217,1.0,0.9387741378992275,0.9357455835847346,0.7874035471352934,0.8110776941879276,0.8064330838473731,0.579484426313314,0.5900657410020693,0.6283180893424961,0.6485368021673545,0.862059480680962,0.8514327689719859,0.8881265279483085,0.5829470682462229,0.6311348376872667,0.6344543089685726,0.5063908748551684,0.3540104410768089,0.6142143399811343,0.43005102346269874,0.551217663724049
P05_clip_g14,0.5795624890541524,0.5403473000323634,0.8563299519095332,0.8369331518239745,0.9387741378992275,1.0,0.9230235233852979,0.7781264107399847,0.7954079638153664,0.7939306801366967,0.5710106985535858,0.58295537271554,0.6240908734155004,0.6515773316787122,0.8501435950976962,0.8302998999028536,0.869215728912027,0.5747499041688136,0.6387673312108404,0.6380712661533555,0.49297463610262493,0.34973636203568226,0.6098799877301206,0.4241907433573208,0.5443817604149239
P06_clip_bigG14,0.5504499914796199,0.5504818758647024,0.8757083167872775,0.8501663331624284,0.9357455835847346,0.9230235233852979,1.0,0.7985703162634451,0.8206559595662551,0.810119707903781,0.549726335718073,0.6040931230208726,0.6335086942394105,0.6386803074400066,0.8649014707841692,0.8788480410297594,0.8872321734424463,0.5413937102496114,0.6243142861143496,0.635403609634811,0.5157687940308131,0.35600427220047665,0.6219826333277931,0.43193150654087176,0.5627648077933727
P07_dinov2_base,0.5445437668199135,0.5483274325495031,0.7485183061646864,0.6889554272077002,0.7874035471352934,0.7781264107399847,0.7985703162634451,1.0,0.9203546046008836,0.9202920119086451,0.5477208758049738,0.6089991625812002,0.536964282524787,0.5716376758528218,0.8161307198410471,0.7922541664920043,0.7619214048672187,0.5771608169072294,0.5822304295366771,0.5835102624177642,0.440988533618247,0.31868045235243175,0.5418378037384863,0.3750513410315765,0.49587977650047826
P08_dinov2_large,0.5916839869587404,0.5378672187617984,0.7786559285291134,0.7258419937851499,0.8110776941879276,0.7954079638153664,0.8206559595662551,0.9203546046008836,1.0,0.9502741114545867,0.5828337394717277,0.6220933763457989,0.5445893749365669,0.5796232037881912,0.8328901382080268,0.8172171651996721,0.78818114986756,0.610431349129848,0.6052164085412499,0.5941912817909902,0.45462522597388144,0.33278209806598585,0.5588028018278364,0.3869533924663459,0.5054130725585326
P09_dinov2_giant,0.5861296710703721,0.5210400544055437,0.7674027078814404,0.7209451964475108,0.8064330838473731,0.7939306801366967,0.810119707903781,0.9202920119086451,0.9502741114545867,1.0,0.5784274107243286,0.6217757931748928,0.5471225634812805,0.5940163729731127,0.8192916776480862,0.7951931142989769,0.7793765273290698,0.6323461763110477,0.6215135690367181,0.6086266189250938,0.4626813893116257,0.33147838155072445,0.5593563584819152,0.3926343619330144,0.5115758522407924
P10_mae_huge,0.885373509352832,0.7094989574097814,0.5599556843605874,0.5318174166211406,0.579484426313314,0.5710106985535858,0.549726335718073,0.5477208758049738,0.5828337394717277,0.5784274107243286,1.0,0.5298099214424361,0.47727560833949034,0.6073500836458285,0.5800956023937687,0.5329624659021677,0.5600488973355178,0.6419113552728447,0.5999909424883874,0.5683988545631007,0.42899705794589527,0.30985977898948114,0.5336610172944433,0.34821802943773894,0.48504507187397117
P11_sdxl_vae,0.5204046921587868,0.4764668403488064,0.5879894490647003,0.5537792520900219,0.5900657410020693,0.58295537271554,0.6040931230208726,0.6089991625812002,0.6220933763457989,0.6217757931748928,0.5298099214424361,1.0,0.503483466759172,0.5437113258756423,0.6208964146297434,0.6153554810400016,0.5985096584861793,0.5051750547301087,0.5663110478329911,0.5701872837862069,0.43960554461606693,0.31547663753767274,0.49867842585530886,0.3502053487595425,0.493401418542921
P17_facenet_vggface2,0.47306240352494444,0.5089055798849268,0.6237895797258612,0.609244189730372,0.6283180893424961,0.6240908734155004,0.6335086942394105,0.536964282524787,0.5445893749365669,0.5471225634812805,0.47727560833949034,0.503483466759172,1.0,0.7443351034234924,0.5506691684495821,0.5447435743599993,0.5838850835586441,0.4299019710814302,0.6042201249301922,0.626872490720524,0.522792539050709,0.383773715582016,0.6403330331882955,0.4718941180374074,0.5636032474540498
P18_facenet_casiawebface,0.6140936183858491,0.555108684767265,0.6355904737873967,0.6144802319126791,0.6485368021673545,0.6515773316787122,0.6386803074400066,0.5716376758528218,0.5796232037881912,0.5940163729731127,0.6073500836458285,0.5437113258756423,0.7443351034234924,1.0,0.6029918312804335,0.5747744352971261,0.6215181175085446,0.5691100748969864,0.6926194138066707,0.6829260006562484,0.5372304478834125,0.39748815847626623,0.6926964398378744,0.4834429419183404,0.5926652534664112
P19_siglip_base_384,0.5627576315265791,0.5486723663588435,0.8179472206125,0.7573489323093942,0.862059480680962,0.8501435950976962,0.8649014707841692,0.8161307198410471,0.8328901382080268,0.8192916776480862,0.5800956023937687,0.6208964146297434,0.5506691684495821,0.6029918312804335,1.0,0.9069137915265102,0.8460257147834789,0.5861108845453619,0.5909548333968048,0.5888300045835734,0.4557872432863158,0.3286350518972121,0.5677149961766617,0.38149164610765424,0.5035136055135239
P20_siglip_so400m,0.510216166036474,0.5593293666377946,0.7951279057919215,0.7692315465993027,0.8514327689719859,0.8302998999028536,0.8788480410297594,0.7922541664920043,0.8172171651996721,0.7951931142989769,0.5329624659021677,0.6153554810400016,0.5447435743599993,0.5747744352971261,0.9069137915265102,1.0,0.8683783072597713,0.501985173190344,0.5640730165113087,0.5781540732983109,0.46526893086538024,0.33319595685828646,0.5638386824093449,0.3821231032149862,0.5132853187839233
P21_metaclip_h14,0.5788330241417099,0.4981118612020479,0.8461521313096259,0.849670812687737,0.8881265279483085,0.869215728912027,0.8872321734424463,0.7619214048672187,0.78818114986756,0.7793765273290698,0.5600488973355178,0.5985096584861793,0.5838850835586441,0.6215181175085446,0.8460257147834789,0.8683783072597713,1.0,0.5709950985878616,0.6266452403330623,0.6313288674780526,0.477820721789056,0.3411211743162025,0.5841045901104047,0.40222592620998393,0.5296981694835646
P22_cornet_s,0.708177231511571,0.2910460664375398,0.5364114706346335,0.513863304331697,0.5829470682462229,0.5747499041688136,0.5413937102496114,0.5771608169072294,0.610431349129848,0.6323461763110477,0.6419113552728447,0.5051750547301087,0.4299019710814302,0.5691100748969864,0.5861108845453619,0.501985173190344,0.5709950985878616,1.0,0.6092972641827926,0.5436713416165305,0.3794008680136378,0.2661079399664816,0.47420829888998517,0.32463051266148474,0.4216309524987126
P23_arcface_auraface,0.6217700299679506,0.5150156004539174,0.60675060535773,0.6161892478804908,0.6311348376872667,0.6387673312108404,0.6243142861143496,0.5822304295366771,0.6052164085412499,0.6215135690367181,0.5999909424883874,0.5663110478329911,0.6042201249301922,0.6926194138066707,0.5909548333968048,0.5640730165113087,0.6266452403330623,0.6092972641827926,1.0,0.8591590505723625,0.507608154128764,0.3773312378848655,0.613037567087549,0.42965523191463706,0.560649481252841
P23rgb_arcface_auraface_rgb,0.572184985653924,0.5379090082421247,0.6202623050318936,0.6269533329383684,0.6344543089685726,0.6380712661533555,0.635403609634811,0.5835102624177642,0.5941912817909902,0.6086266189250938,0.5683988545631007,0.5701872837862069,0.626872490720524,0.6829260006562484,0.5888300045835734,0.5781540732983109,0.6313288674780526,0.5436713416165305,0.8591590505723625,1.0,0.5378174974408029,0.40979515533961675,0.629927747959536,0.46673136223186923,0.5938177978038377
P24_adaface_ir101_ms1mv2,0.4252595651247463,0.4416072467453587,0.49057096331729266,0.49707264421508796,0.5063908748551684,0.49297463610262493,0.5157687940308131,0.440988533618247,0.45462522597388144,0.4626813893116257,0.42899705794589527,0.43960554461606693,0.522792539050709,0.5372304478834125,0.4557872432863158,0.46526893086538024,0.477820721789056,0.3794008680136378,0.507608154128764,0.5378174974408029,1.0,0.5851285360167975,0.5614313005934409,0.6559406981196468,0.7600681134504825
P25_arcface_ir101_webface4m,0.3023160669286895,0.3212801217726584,0.33881270450350215,0.3521075798310934,0.3540104410768089,0.34973636203568226,0.35600427220047665,0.31868045235243175,0.33278209806598585,0.33147838155072445,0.30985977898948114,0.31547663753767274,0.383773715582016,0.39748815847626623,0.3286350518972121,0.33319595685828646,0.3411211743162025,0.2661079399664816,0.3773312378848655,0.40979515533961675,0.5851285360167975,1.0,0.425825925614575,0.6166932053830804,0.5585795100160551
P26_adaface_ir50_casia,0.522832772589081,0.5399862402696282,0.6071273228342257,0.597933386321634,0.6142143399811343,0.6098799877301206,0.6219826333277931,0.5418378037384863,0.5588028018278364,0.5593563584819152,0.5336610172944433,0.49867842585530886,0.6403330331882955,0.6926964398378744,0.5677149961766617,0.5638386824093449,0.5841045901104047,0.47420829888998517,0.613037567087549,0.629927747959536,0.5614313005934409,0.425825925614575,1.0,0.5259194519023255,0.6147480471717499
P28_adaface_ir50_webface4m,0.3459147018769041,0.3443754666673821,0.4041191315645284,0.4286652916659434,0.43005102346269874,0.4241907433573208,0.43193150654087176,0.3750513410315765,0.3869533924663459,0.3926343619330144,0.34821802943773894,0.3502053487595425,0.4718941180374074,0.4834429419183404,0.38149164610765424,0.3821231032149862,0.40222592620998393,0.32463051266148474,0.42965523191463706,0.46673136223186923,0.6559406981196468,0.6166932053830804,0.5259194519023255,1.0,0.6623271070550827
P29_adaface_ir50_ms1mv2,0.4743191107534799,0.5021566872504801,0.5360751979375555,0.5442808408983307,0.551217663724049,0.5443817604149239,0.5627648077933727,0.49587977650047826,0.5054130725585326,0.5115758522407924,0.48504507187397117,0.493401418542921,0.5636032474540498,0.5926652534664112,0.5035136055135239,0.5132853187839233,0.5296981694835646,0.4216309524987126,0.560649481252841,0.5938177978038377,0.7600681134504825,0.5585795100160551,0.6147480471717499,0.6623271070550827,1.0
