subject,mean_r,median_r,spearman_r_loading,spearman_p,mean_r_high_loading_q4,mean_r_low_loading_q1
1,0.17053102510419257,0.16593936573255913,-0.017737141030684498,0.5707550384903417,0.1656584105436271,0.17705244658081887
2,0.15966849987847567,0.15402514262350436,-0.027943034296545308,0.3717182852491059,0.15524510305059525,0.16973820960215358
3,0.17204541657249722,0.16691798461145946,-0.02343203499392032,0.45384989468579134,0.16829401026276725,0.18177899711102707
4,0.1764756252142099,0.17467650562342973,-0.046848814909520066,0.13409333433027,0.17275300931271592,0.19018746986803406
5,0.13486543722260044,0.12931464964932032,-0.050914891191617184,0.10345223563777295,0.12741139263743978,0.13909513310223187
6,0.13347829135837253,0.12925252545469015,0.030566550139475,0.3284883373086715,0.13744788528987942,0.13374401715148992
7,0.14207783671735183,0.13541708170211975,0.0364866828195408,0.24339771464229648,0.146258934139195,0.14024171864911322
8,0.21167626641846138,0.20810504599110363,-0.0283168004792218,0.36535288186045006,0.20974485584330113,0.22358824336048294
9,0.12591241781318652,0.12080206302705107,-0.048182656372934694,0.12335164392132314,0.1147369998629765,0.1329607686771681
10,0.15028493225525047,0.1460196864359002,-0.06283291833559831,0.04441170896034877,0.13991797021310398,0.16042468270892574
